class,class id,ap,ap50,ap25
chair,0.4184419621788466,0.46603435978928665,0.4840185617078652
table,0.29466906835407,0.3382244968471971,0.3536226012007809
door,0.36398505331644987,0.41805375036686093,0.4525206783420359
couch,0.38848239941829144,0.47830807420311594,0.49619501458664256
cabinet,0.034288753002911516,0.04529861219398097,0.045362146823285446
shelf,0.259259149449613,0.338790496507103,0.37727093753152385
desk,0.3219277339053807,0.48517806314426376,0.5074627451673253
office chair,0.44564954285658787,0.45621611602798756,0.45738985784857344
bed,0.39970623253217236,0.5060270602706027,0.5154082985979538
pillow,0.286087217165093,0.3498579742809948,0.373174584826417
sink,0.38557437782689785,0.4635190020307514,0.49473525872442836
picture,0.16689111123932326,0.18718622997848436,0.19605721841567497
window,0.20844607121961797,0.2730996068152031,0.34641119651949054
toilet,0.5316592253256068,0.5446009389671361,0.5467980295566502
bookshelf,0.21216278261035454,0.2932920003444416,0.3557076235986939
monitor,0.4338919892998321,0.5050010691941036,0.5285470825893532
curtain,0.30036463939674657,0.40124642743728167,0.46142861999796003
book,0.009942467232807554,0.015237020316027087,0.024334581896658644
armchair,0.046985667760315646,0.06023166023166023,0.06851922344880092
coffee table,0.41097762485031125,0.46159101467493785,0.4626153448127174
box,0.22781674161271517,0.32351980521408635,0.39807854182854185
refrigerator,0.4205154934870792,0.4859679572763685,0.5023449863329017
lamp,0.3222936314078877,0.3954378954378954,0.4146660801072566
kitchen cabinet,0.2370277737664272,0.2905410580447508,0.3640006623613181
towel,0.3212786568575628,0.3947205609404001,0.4201339557540085
clothes,0.11598432008912599,0.17251184834123223,0.17404371584699455
tv,0.46868798150974034,0.4815281276238455,0.4844050827878321
nightstand,0.07355897152094684,0.09072079536039769,0.09106637307329349
counter,0.1148914775991628,0.15934998787290808,0.18648874837269852
dresser,0.291686872756702,0.3752586369051351,0.3896522579087177
stool,0.37886225030304743,0.43283842794759825,0.455054432348367
cushion,0.0,0.0,0.0
plant,0.38726766308253463,0.46985583224115335,0.4840209465080996
ceiling,0.24518513769638883,0.3248202985344808,0.3915776883132038
bathtub,0.3966212357850178,0.4379293290102764,0.4919642857142857
end table,0.1746024300607899,0.1772021790523178,0.17745325810377255
dining table,0.1858775302671412,0.33459835547122074,0.33469387755102037
keyboard,0.4346681564222398,0.5055445544554455,0.5042156862745097
bag,0.37095329254377796,0.4230918248740798,0.45111857414850853
backpack,0.3024378412162164,0.3532182103610675,0.373782606567807
toilet paper,0.1985103879670168,0.2662037037037037,0.34486201888162676
printer,0.47092614012219947,0.4989200863930886,0.5009671179883946
tv stand,0.4256955280138188,0.4513618677042801,0.45189843931982293
whiteboard,0.3829051663612954,0.4549255792542581,0.5101124472903327
blanket,0.09984954444946606,0.12019077901430843,0.21411764705882352
shower curtain,0.406823643858721,0.47795664132017474,0.4787252221462748
trash can,0.34684906292789114,0.3771954973661272,0.39323691484304857
closet,0.0,0.0,0.06305309734513274
stairs,0.1444599444813579,0.2608695652173913,0.2708333333333333
microwave,0.3711736862288729,0.42987486965589156,0.43034165338998054
stove,0.27473559622080873,0.35474716202270384,0.35710321864594896
shoe,0.2803407511407587,0.3700819672131147,0.44322799097065463
computer tower,0.08523555205147301,0.125,0.15358851674641147
bottle,0.19535795179725352,0.24748563218390804,0.28848900314195947
bin,0.2991604335903002,0.3131240015974441,0.31319444444444444
ottoman,0.3169868795538147,0.3454861111111111,0.3709856035437431
bench,0.2351460376018703,0.23899371069182387,0.23899371069182387
board,0.0,0.0,0.0
washing machine,0.3474073822944297,0.5283018867924528,0.527190332326284
mirror,0.06651724556893246,0.09356081452944413,0.12806668561144263
copier,0.5092283605637824,0.5176056338028169,0.51875
basket,0.0,0.0,0.0
sofa chair,0.4332348539316572,0.4510764967025071,0.4512152916433725
file cabinet,0.32192142158679965,0.32813042534722225,0.32865987760566073
fan,0.3216079646247533,0.38714043993231806,0.3911111111111111
laptop,0.28167085933601893,0.5238022813688212,0.5502008032128514
shower,0.0,0.0,0.0
paper,0.12647606490206822,0.169987922705314,0.21801346801346802
person,0.0,0.0,0.0
paper towel dispenser,0.4583067003196822,0.4904431967506869,0.49140915501987437
oven,0.39938138797460326,0.5051813471502591,0.5056338028169014
blinds,0.02570457371336814,0.07715269804822045,0.1159297395517868
rack,0.0,0.0,0.0
plate,0.0,0.0,0.0
blackboard,0.4181929943261699,0.4922875816993464,0.5319148936170213
piano,0.4149308208560597,0.5101351351351351,0.5110294117647058
suitcase,0.36377331824573816,0.41592039800995023,0.4421052631578948
rail,0.0374020857650119,0.03741690408357075,0.056530214424951264
radiator,0.3330807696693843,0.4556154282473057,0.506685033627745
recycling bin,0.30632158091394657,0.3083083083083083,0.3089145984350247
container,0.0,0.0,0.0
wardrobe,0.0,0.0,0.0
soap dispenser,0.36290586521262075,0.3804034582132565,0.38187517811342264
telephone,0.28618177009578816,0.3800424628450106,0.3995367689635206
bucket,0.2363729181077331,0.24598478444632293,0.2465034965034965
clock,0.4510564593621209,0.5021645021645021,0.580338266384778
stand,0.0,0.0,0.0
light,0.06269955330483801,0.0627125850340136,0.06275201612903226
laundry basket,0.4214034915850796,0.5070546737213404,0.5085470085470085
pipe,0.007942862226288967,0.0714857600366007,0.14312267657992564
clothes dryer,0.0,0.0,0.043103448275862065
guitar,0.44211017740429503,0.5441176470588235,0.5535714285714286
toilet paper holder,0.0,0.0,0.0
seat,0.0,0.0,0.0
speaker,0.0,0.0,0.0
column,0.0,0.0,0.0
bicycle,nan,nan,nan
ladder,0.2072366963032521,0.22433035714285712,0.22482435597189696
